NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;NBJRR1;NBJRR5;NBJRR10;NBJBROU
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200601;31.4;7;2;1;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200602;59.8;11;3;2;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200603;73.0;14;7;2;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200604;25.2;6;2;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200605;57.4;13;5;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200606;23.6;5;1;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200607;55.8;7;6;2;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200608;101.6;14;6;3;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200609;42.4;6;2;2;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200610;45.2;9;3;2;2
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200611;52.4;9;3;2;3
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200612;66.6;9;6;2;2
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200701;28.0;9;1;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200702;79.2;12;6;3;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200703;41.4;13;3;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200704;5.2;1;1;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200705;102.4;15;7;5;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200706;52.6;10;5;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200707;73.5;13;5;3;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200708;159.2;14;7;3;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200709;18.4;5;1;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200710;42.0;5;2;1;2
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200711;28.6;7;2;0;2
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200712;59.8;7;3;2;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200801;49.2;10;3;2;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200802;32.4;7;2;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200803;76.2;17;6;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200804;51.4;12;5;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200805;66.6;7;3;2;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200806;14.8;4;1;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200807;40.0;6;3;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200808;94.6;11;4;3;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200809;16.6;6;1;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200810;61.1;10;5;3;3
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200811;50.2;12;3;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200812;29.4;9;1;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200901;46.2;8;4;0;2
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200902;38.0;8;2;1;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200903;31.0;9;3;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200904;42.0;6;4;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200905;70.6;9;5;3;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200906;57.0;7;5;4;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200907;42.2;8;3;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200908;13.0;2;2;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200909;24.2;5;2;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200910;47.0;9;4;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200911;74.0;19;4;1;2
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;200912;73.7;17;7;1;4
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201001;31.0;7;3;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201002;53.6;14;3;2;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201003;44.0;8;4;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201004;13.8;3;2;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201005;50.1;9;3;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201006;42.9;7;4;1;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201007;95.9;5;3;3;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201008;82.8;11;5;2;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201009;59.1;10;5;3;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201010;31.2;8;2;0;0
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201011;71.3;12;5;4;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;201012;64.3;10;5;2;1
